flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,1597407,3993525,167921,4,57,2015-12-27 12:01:45,det,2015-12-27 12:03:14,11,4,23,12,13,6,6,75.0,75.0,17.0
0,2015-12-27,bdp_java,Android,1597407,3994042,167921,1,6,2015-12-27 11:09:44,addf,2015-12-27 11:45:24,3,2,3,2,2,2,0,75.0,75.0,17.0
0,2015-12-27,bdp_java,Android,1597407,3994042,167921,1,6,2015-12-27 11:09:44,det,2015-12-27 11:45:06,3,2,3,2,2,2,0,75.0,75.0,17.0
0,2015-12-27,bdp_java,Android,1597407,4012471,167921,2,28,2015-12-27 11:47:00,addf,2015-12-27 12:00:12,0,0,0,0,0,0,0,75.0,75.0,16.0
0,2015-12-27,bdp_java,Android,1597407,4012471,167921,2,28,2015-12-27 11:47:00,det,2015-12-27 11:50:57,0,0,0,0,0,0,0,75.0,75.0,16.0
0,2015-12-27,bdp_java,Android,1597407,4036095,167921,3,43,2015-12-27 12:00:48,det,2015-12-27 12:03:09,0,0,0,0,0,0,0,75.0,75.0,15.0
0,2015-12-27,bdp_java,Android,1597407,4081776,167921,1,7,2015-12-27 11:09:44,det,2015-12-27 11:45:51,2,2,5,107,40,3,0,75.0,75.0,13.0
0,2015-12-27,bdp_java,Android,1597407,988845,167921,1,15,2015-12-27 11:09:44,det,2015-12-27 11:48:17,0,0,0,0,0,0,0,75.0,75.0,102.0
0,2015-12-27,bdp_java,Android,1642685,176727,178760,2,23,2015-12-27 19:10:29,addf,2015-12-27 19:20:40,8,0,1,0,9,0,0,69.0,69.0,162.0
0,2015-12-27,bdp_java,Android,1642685,176727,178760,2,23,2015-12-27 19:10:29,det,2015-12-27 19:20:35,8,0,1,0,9,0,0,69.0,69.0,162.0
0,2015-12-27,bdp_java,Android,1642685,202637,178760,1,11,2015-12-27 19:02:55,addf,2015-12-27 19:04:31,15,31,65,19,16,7,5,69.0,69.0,155.0
0,2015-12-27,bdp_java,Android,1642685,202637,178760,1,11,2015-12-27 19:02:55,chat,2015-12-27 22:03:30,18,32,69,19,19,9,6,69.0,69.0,155.0
0,2015-12-27,bdp_java,Android,1642685,202637,178760,1,11,2015-12-27 19:02:55,det,2015-12-27 19:04:28,15,31,65,19,16,7,5,69.0,69.0,155.0
0,2015-12-27,bdp_java,Android,1642685,202637,178760,1,11,2015-12-27 19:02:55,det,2015-12-27 19:05:11,15,31,65,19,16,7,5,69.0,69.0,155.0
0,2015-12-27,bdp_java,Android,1642685,3020031,178760,2,21,2015-12-27 19:10:29,addf,2015-12-27 19:13:08,2,0,7,3,4,0,2,69.0,69.0,55.0
0,2015-12-27,bdp_java,Android,1642685,3020031,178760,2,21,2015-12-27 19:10:29,det,2015-12-27 19:14:17,2,0,7,3,4,0,2,69.0,69.0,55.0
0,2015-12-27,bdp_java,Android,1642685,302277,178760,2,24,2015-12-27 19:10:29,det,2015-12-27 19:20:52,6,0,4,12,3,2,1,69.0,69.0,130.0
0,2015-12-27,bdp_java,Android,1642685,3629746,178760,2,29,2015-12-27 19:10:29,addf,2015-12-27 19:21:49,6,0,4,7,1,3,0,69.0,69.0,33.0
0,2015-12-27,bdp_java,Android,1642685,3629746,178760,2,29,2015-12-27 19:10:29,det,2015-12-27 19:20:33,6,0,4,7,1,3,0,69.0,69.0,33.0
0,2015-12-27,bdp_java,Android,1642685,3914756,178760,2,26,2015-12-27 19:10:29,addf,2015-12-27 19:20:21,4,1,16,14,6,4,0,69.0,69.0,20.0
0,2015-12-27,bdp_java,Android,1642685,3914756,178760,2,26,2015-12-27 19:10:29,det,2015-12-27 19:21:29,4,1,16,14,6,4,0,69.0,69.0,20.0
0,2015-12-27,bdp_java,Android,1642685,4201862,178760,2,19,2015-12-27 19:10:29,det,2015-12-27 19:12:43,0,0,12,2,1,0,1,69.0,69.0,10.0
0,2015-12-27,bdp_java,Android,1642685,4308230,178760,3,32,2015-12-27 19:20:30,det,2015-12-27 19:22:24,3,0,3,1,2,0,2,69.0,69.0,6.0
0,2015-12-27,bdp_java,Android,1642685,4330137,178760,2,30,2015-12-27 19:10:29,det,2015-12-27 19:20:59,18,0,22,2,5,5,6,69.0,69.0,5.0
0,2015-12-27,bdp_java,Android,1642685,4380358,178760,1,4,2015-12-27 19:02:55,det,2015-12-27 19:04:59,23,18,63,38,25,15,0,69.0,69.0,3.0
0,2015-12-27,bdp_java,Android,1642685,47165,178760,1,3,2015-12-27 19:02:55,addf,2015-12-27 19:04:53,32,10,39,15,40,6,0,69.0,69.0,273.0
0,2015-12-27,bdp_java,Android,1642685,47165,178760,1,3,2015-12-27 19:02:55,chat,2015-12-27 20:12:27,33,11,43,16,41,7,0,69.0,69.0,273.0
0,2015-12-27,bdp_java,Android,1642685,47165,178760,1,3,2015-12-27 19:02:55,det,2015-12-27 19:03:37,32,10,39,15,40,6,0,69.0,69.0,273.0
0,2015-12-27,bdp_java,Android,1680011,3242844,191099,1,1,2015-12-27 23:50:56,det,2015-12-27 23:49:52,1,0,0,0,1,1,0,64.0,63.0,49.0
0,2015-12-27,bdp_java,Android,214093,1603237,257489,1,3,2015-12-27 09:13:08,det,2015-12-27 09:13:26,12,0,4,3,10,1,0,152.0,31.0,74.0
0,2015-12-27,bdp_java,Android,214093,160850,257489,1,12,2015-12-27 09:13:08,det,2015-12-27 09:13:55,2,0,0,3,3,5,0,152.0,31.0,167.0
0,2015-12-27,bdp_java,Android,214093,3713234,257489,1,14,2015-12-27 09:13:08,det,2015-12-27 09:13:01,4,0,12,0,3,0,0,152.0,31.0,29.0
0,2015-12-27,bdp_java,Android,214093,3824312,257489,1,1,2015-12-27 09:13:08,det,2015-12-27 09:13:10,3,0,1,25,5,9,0,152.0,31.0,24.0
0,2015-12-27,bdp_java,Android,214093,4261295,257489,1,8,2015-12-27 09:13:08,det,2015-12-27 09:13:50,11,1,3,9,10,10,0,152.0,31.0,7.0
0,2015-12-27,bdp_java,Android,245485,130383,72288,1,14,2015-12-27 18:53:29,addf,2015-12-27 18:57:08,14,0,5,4,18,11,0,145.0,143.0,180.0
0,2015-12-27,bdp_java,Android,245485,130383,72288,1,14,2015-12-27 18:53:29,det,2015-12-27 18:57:01,14,0,5,4,18,11,0,145.0,143.0,180.0
0,2015-12-27,bdp_java,Android,245485,137007,72288,1,12,2015-12-27 18:53:29,addf,2015-12-27 18:56:41,5,0,6,5,4,5,2,145.0,143.0,176.0
0,2015-12-27,bdp_java,Android,245485,137007,72288,1,12,2015-12-27 18:53:29,det,2015-12-27 18:56:21,5,0,6,5,4,5,2,145.0,143.0,176.0
